100
0 1-52; 2-48; 3-81; 4-60; 5-7; 6-28; 7-91; 8-54; 9-86; 10-2; 11-99; 12-17; 13-61; 14-76; 15-77; 16-71; 17-22; 18-78; 19-61; 20-43; 21-54; 22-95; 23-96; 24-89; 25-15; 26-21; 27-17; 28-88; 29-42; 30-71; 31-11; 32-55; 33-42; 34-99; 35-33; 36-72; 37-25; 38-31; 39-7; 40-23; 41-15; 42-79; 43-98; 44-44; 45-31; 46-30; 47-2; 48-30; 49-82; 50-19; 51-71; 52-29; 53-96; 54-63; 55-31; 56-34; 57-49; 58-43; 59-60; 60-47; 61-79; 62-84; 63-9; 64-91; 65-52; 66-17; 67-9; 68-12; 69-60; 70-67; 71-58; 72-12; 73-45; 74-52; 75-32; 76-55; 77-1; 78-45; 79-52; 80-44; 81-11; 82-95; 83-35; 84-31; 85-70; 86-93; 87-33; 88-46; 89-88; 90-83; 91-90; 92-99; 93-64; 94-57; 95-79; 96-77; 97-71; 98-69; 99-79;
1 0-52; 2-86; 3-78; 4-42; 5-39; 6-99; 7-41; 8-63; 9-6; 10-77; 11-0; 12-6; 13-70; 14-64; 15-31; 16-24; 17-43; 18-84; 19-36; 20-31; 21-31; 22-48; 23-17; 24-98; 25-73; 26-0; 27-93; 28-54; 29-22; 30-40; 31-7; 32-11; 33-26; 34-30; 35-79; 36-99; 37-82; 38-5; 39-67; 40-38; 41-42; 42-52; 43-87; 44-29; 45-67; 46-86; 47-94; 48-14; 49-92; 50-66; 51-77; 52-6; 53-85; 54-92; 55-36; 56-62; 57-39; 58-13; 59-80; 60-40; 61-63; 62-7; 63-17; 64-49; 65-36; 66-89; 67-77; 68-64; 69-55; 70-15; 71-21; 72-2; 73-85; 74-81; 75-34; 76-53; 77-30; 78-14; 79-25; 80-38; 81-90; 82-97; 83-96; 84-78; 85-99; 86-80; 87-7; 88-86; 89-1; 90-66; 91-63; 92-83; 93-60; 94-88; 95-63; 96-20; 97-22; 98-34; 99-16;
2 0-48; 1-86; 3-2; 4-82; 5-12; 6-99; 7-19; 8-23; 9-86; 10-48; 11-57; 12-53; 13-62; 14-92; 15-28; 16-89; 17-57; 18-31; 19-14; 20-55; 21-18; 22-31; 23-79; 24-90; 25-26; 26-26; 27-86; 28-51; 29-79; 30-90; 31-6; 32-66; 33-95; 34-95; 35-7; 36-92; 37-45; 38-80; 39-60; 40-45; 41-6; 42-5; 43-8; 44-86; 45-71; 46-96; 47-98; 48-42; 49-40; 50-11; 51-88; 52-75; 53-93; 54-46; 55-21; 56-18; 57-8; 58-54; 59-45; 60-20; 61-3; 62-35; 63-66; 64-89; 65-23; 66-34; 67-13; 68-93; 69-15; 70-41; 71-90; 72-12; 73-14; 74-19; 75-27; 76-16; 77-56; 78-90; 79-92; 80-88; 81-26; 82-16; 83-6; 84-0; 85-75; 86-48; 87-68; 88-69; 89-4; 90-12; 91-30; 92-85; 93-61; 94-55; 95-97; 96-46; 97-76; 98-53; 99-34;
3 0-81; 1-78; 2-2; 4-68; 5-92; 6-88; 7-88; 8-56; 9-60; 10-29; 11-82; 12-73; 13-75; 14-26; 15-54; 16-54; 17-77; 18-82; 19-57; 20-10; 21-43; 22-47; 23-81; 24-10; 25-37; 26-44; 27-88; 28-19; 29-17; 30-85; 31-15; 32-45; 33-28; 34-82; 35-28; 36-99; 37-53; 38-24; 39-86; 40-13; 41-36; 42-18; 43-12; 44-57; 45-28; 46-16; 47-27; 48-90; 49-66; 50-19; 51-85; 52-51; 53-38; 54-35; 55-77; 56-30; 57-42; 58-2; 59-82; 60-89; 61-8; 62-15; 63-69; 64-94; 65-8; 66-97; 67-78; 68-12; 69-44; 70-33; 71-32; 72-68; 73-69; 74-47; 75-62; 76-94; 77-71; 78-31; 79-73; 80-28; 81-19; 82-56; 83-93; 84-0; 85-35; 86-90; 87-11; 88-4; 89-68; 90-1; 91-37; 92-21; 93-74; 94-1; 95-72; 96-67; 97-61; 98-75; 99-11;
4 0-60; 1-42; 2-82; 3-68; 5-55; 6-74; 7-92; 8-86; 9-33; 10-39; 11-26; 12-62; 13-10; 14-67; 15-17; 16-23; 17-59; 18-92; 19-15; 20-66; 21-48; 22-52; 23-97; 24-74; 25-81; 26-11; 27-93; 28-32; 29-95; 30-18; 31-88; 32-63; 33-0; 34-31; 35-79; 36-34; 37-91; 38-23; 39-7; 40-30; 41-46; 42-22; 43-0; 44-13; 45-41; 46-55; 47-35; 48-44; 49-45; 50-72; 51-4; 52-22; 53-10; 54-71; 55-99; 56-27; 57-96; 58-68; 59-69; 60-97; 61-60; 62-88; 63-74; 64-90; 65-15; 66-75; 67-68; 68-93; 69-22; 70-87; 71-75; 72-13; 73-99; 74-56; 75-64; 76-10; 77-59; 78-44; 79-36; 80-40; 81-49; 82-95; 83-39; 84-85; 85-63; 86-90; 87-71; 88-49; 89-12; 90-16; 91-89; 92-50; 93-74; 94-84; 95-83; 96-18; 97-55; 98-97; 99-30;
5 0-7; 1-39; 2-12; 3-92; 4-55; 6-66; 7-37; 8-39; 9-75; 10-16; 11-91; 12-32; 13-6; 14-83; 15-28; 16-34; 17-48; 18-75; 19-93; 20-99; 21-95; 22-88; 23-4; 24-4; 25-18; 26-19; 27-79; 28-17; 29-34; 30-53; 31-74; 32-94; 33-77; 34-68; 35-64; 36-10; 37-39; 38-74; 39-87; 40-19; 41-72; 42-42; 43-98; 44-14; 45-70; 46-69; 47-77; 48-63; 49-97; 50-15; 51-37; 52-94; 53-68; 54-98; 55-34; 56-1; 57-4; 58-16; 59-25; 60-47; 61-84; 62-92; 63-64; 64-47; 65-81; 66-72; 67-74; 68-23; 69-43; 70-14; 71-79; 72-47; 73-60; 74-29; 75-77; 76-82; 77-44; 78-4; 79-15; 80-75; 81-47; 82-3; 83-92; 84-64; 85-81; 86-63; 87-71; 88-94; 89-94; 90-51; 91-70; 92-53; 93-16; 94-81; 95-33; 96-1; 97-43; 98-60; 99-29;
6 0-28; 1-99; 2-99; 3-88; 4-74; 5-66; 7-51; 8-66; 9-29; 10-0; 11-64; 12-22; 13-98; 14-94; 15-95; 16-80; 17-42; 18-47; 19-17; 20-74; 21-59; 22-46; 23-89; 24-97; 25-88; 26-85; 27-68; 28-34; 29-17; 30-62; 31-32; 32-37; 33-0; 34-96; 35-47; 36-12; 37-69; 38-28; 39-50; 40-49; 41-90; 42-66; 43-95; 44-18; 45-9; 46-71; 47-85; 48-27; 49-98; 50-39; 51-58; 52-51; 53-94; 54-26; 55-93; 56-71; 57-39; 58-56; 59-60; 60-49; 61-68; 62-41; 63-32; 64-33; 65-44; 66-61; 67-45; 68-44; 69-74; 70-95; 71-79; 72-2; 73-11; 74-94; 75-38; 76-93; 77-62; 78-65; 79-79; 80-3; 81-20; 82-92; 83-38; 84-75; 85-66; 86-77; 87-17; 88-18; 89-63; 90-62; 91-58; 92-66; 93-25; 94-30; 95-90; 96-50; 97-8; 98-22; 99-81;
7 0-91; 1-41; 2-19; 3-88; 4-92; 5-37; 6-51; 8-32; 9-55; 10-73; 11-88; 12-94; 13-86; 14-0; 15-79; 16-17; 17-4; 18-65; 19-32; 20-81; 21-78; 22-44; 23-33; 24-3; 25-45; 26-69; 27-19; 28-10; 29-42; 30-87; 31-30; 32-64; 33-0; 34-45; 35-76; 36-92; 37-95; 38-72; 39-46; 40-66; 41-75; 42-45; 43-26; 44-57; 45-52; 46-21; 47-32; 48-49; 49-74; 50-25; 51-5; 52-3; 53-88; 54-3; 55-55; 56-21; 57-15; 58-34; 59-0; 60-97; 61-65; 62-58; 63-76; 64-50; 65-50; 66-35; 67-85; 68-51; 69-43; 70-47; 71-51; 72-5; 73-91; 74-76; 75-77; 76-21; 77-76; 78-62; 79-99; 80-16; 81-70; 82-5; 83-47; 84-23; 85-52; 86-1; 87-70; 88-42; 89-91; 90-14; 91-44; 92-55; 93-30; 94-3; 95-1; 96-54; 97-59; 98-45; 99-29;
8 0-54; 1-63; 2-23; 3-56; 4-86; 5-39; 6-66; 7-32; 9-58; 10-85; 11-93; 12-54; 13-90; 14-91; 15-85; 16-24; 17-73; 18-68; 19-71; 20-64; 21-34; 22-36; 23-57; 24-21; 25-71; 26-28; 27-69; 28-42; 29-18; 30-70; 31-54; 32-3; 33-54; 34-68; 35-39; 36-19; 37-59; 38-36; 39-5; 40-78; 41-63; 42-30; 43-54; 44-21; 45-73; 46-48; 47-42; 48-34; 49-43; 50-19; 51-37; 52-6; 53-40; 54-80; 55-16; 56-40; 57-43; 58-25; 59-46; 60-10; 61-88; 62-2; 63-0; 64-85; 65-58; 66-95; 67-81; 68-83; 69-45; 70-48; 71-41; 72-9; 73-35; 74-65; 75-93; 76-8; 77-71; 78-12; 79-79; 80-65; 81-6; 82-62; 83-9; 84-35; 85-52; 86-14; 87-36; 88-38; 89-12; 90-20; 91-3; 92-74; 93-41; 94-86; 95-36; 96-85; 97-41; 98-84; 99-76;
9 0-86; 1-6; 2-86; 3-60; 4-33; 5-75; 6-29; 7-55; 8-58; 10-29; 11-68; 12-70; 13-18; 14-84; 15-91; 16-93; 17-31; 18-68; 19-46; 20-13; 21-45; 22-8; 23-24; 24-61; 25-49; 26-61; 27-61; 28-20; 29-33; 30-60; 31-75; 32-3; 33-2; 34-24; 35-16; 36-93; 37-41; 38-30; 39-38; 40-68; 41-66; 42-59; 43-55; 44-63; 45-98; 46-60; 47-47; 48-84; 49-13; 50-86; 51-12; 52-99; 53-68; 54-45; 55-99; 56-25; 57-99; 58-79; 59-38; 60-41; 61-63; 62-82; 63-13; 64-47; 65-70; 66-79; 67-11; 68-12; 69-67; 70-52; 71-16; 72-65; 73-70; 74-43; 75-32; 76-81; 77-34; 78-17; 79-97; 80-60; 81-2; 82-35; 83-68; 84-93; 85-55; 86-36; 87-59; 88-41; 89-83; 90-85; 91-76; 92-97; 93-26; 94-49; 95-82; 96-98; 97-9; 98-61; 99-34;
10 0-2; 1-77; 2-48; 3-29; 4-39; 5-16; 6-0; 7-73; 8-85; 9-29; 11-23; 12-53; 13-91; 14-67; 15-24; 16-98; 17-38; 18-71; 19-94; 20-77; 21-10; 22-12; 23-99; 24-92; 25-60; 26-47; 27-80; 28-7; 29-27; 30-65; 31-42; 32-29; 33-17; 34-44; 35-23; 36-87; 37-48; 38-28; 39-98; 40-17; 41-91; 42-68; 43-92; 44-51; 45-11; 46-29; 47-7; 48-83; 49-51; 50-65; 51-45; 52-21; 53-52; 54-74; 55-66; 56-54; 57-86; 58-3; 59-16; 60-66; 61-91; 62-47; 63-90; 64-16; 65-14; 66-83; 67-40; 68-32; 69-94; 70-30; 71-26; 72-51; 73-5; 74-64; 75-97; 76-85; 77-57; 78-38; 79-82; 80-41; 81-4; 82-27; 83-29; 84-60; 85-18; 86-22; 87-73; 88-97; 89-49; 90-15; 91-60; 92-86; 93-86; 94-62; 95-93; 96-46; 97-11; 98-12; 99-40;
